date,tempf
20091106,51.1
20091107,51.1
20091108,70
20091109,70
20091110,66.2
20091111,66.2
20091112,55.9
20091113,53.1
20091114,60.8
20091115,64.9
20091116,64.9
20091117,61
20091118,52
20091119,59
20091120,69.1
20091121,69.1
20091122,59
20091123,54
20091124,50
20091125,50
20091126,53.1
20091127,53.1
20091128,53.1
20091129,55
20091130,57.9
20091201,57.9
20091202,55
20091203,66
20091204,66
20091205,46
20091206,44.1
20091207,41
20091208,43
20091209,43
20091210,45
20091211,45
20091212,34
20091213,50
20091214,51.8
20091215,50
20091216,50
20091217,39
20091218,30.9
20091219,30.9
20091220,30.2
20091221,33.1
20091222,33.1
20091223,33.1
20091224,39
20091225,39.2
20091226,39.9
20091227,53.6
20091228,54
20091229,45
20091230,32
20091231,32
20100101,37
20100102,34
20100103,33.1
20100104,33.1
20100105,33.1
20100106,33.1
20100107,39.9
20100108,39.9
20100109,30
20100110,30
20100111,35.1
20100112,35.1
20100113,35.1
20100114,35.1
20100115,46
20100116,46.9
20100117,46.9
20100118,41
20100119,39
20100120,41
20100121,43
20100122,43
20100123,41
20100124,41
20100125,55.9
20100126,55.9
20100127,50
20100128,44.1
20100129,36
20100130,21.9
20100131,30
20100201,35.1
20100202,35.1
20100203,35.1
20100204,35.1
20100205,37
20100206,37
20100207,35.1
20100208,35.1
20100209,42.1
20100210,42.1
20100211,39.9
20100212,41
20100213,39.9
20100214,39.9
20100215,43
20100216,43
20100217,36
20100218,46.9
20100219,46.9
20100220,50
20100221,50
20100222,48
20100223,48
20100224,46.4
20100225,48
20100226,48.9
20100227,39
20100228,41
20100301,48
20100302,50
20100303,39
20100304,39.9
20100305,45
20100306,57.9
20100307,57.9
20100308,63
20100309,63
20100310,55.9
20100311,54
20100312,50
20100313,50
20100314,51.8
20100315,43
20100316,55
20100317,61
20100318,68
20100319,69.1
20100320,73
20100321,73
20100322,63
20100323,48
20100324,55
20100325,64
20100326,64
20100327,54
20100328,44.1
20100329,52
20100330,57
20100331,57
20100401,62.1
20100402,64.9
20100403,64.9
20100404,75.9
20100405,75.9
20100406,71.1
20100407,91.9
20100408,75.9
20100409,57.2
20100410,59
20100411,73
20100412,73
20100413,64.9
20100414,66
20100415,68
20100416,48.9
20100417,48.9
20100418,54
20100419,62.1
20100420,69.1
20100421,70
20100422,70
20100423,68
20100424,68
20100425,68
20100426,57.9
20100427,59
20100428,51.1
20100429,64
20100430,78.1
20100501,78.1
20100502,75
20100503,80.1
20100504,82
20100505,82
20100506,79
20100507,79
20100508,73
20100509,72
20100510,60.1
20100511,60.1
20100512,59
20100513,68
20100514,68
20100515,73
20100516,73.9
20100517,75.9
20100518,59
20100519,60.1
20100520,81
20100521,81
20100522,78.1
20100523,73.9
20100524,75
20100525,82.9
20100526,96.1
20100527,82
20100528,75
20100529,75.9
20100530,82
20100531,82
20100601,84
20100602,80.1
20100603,81
20100604,81
20100605,81
20100606,82
20100607,82
20100608,75
20100609,72
20100610,69.1
20100611,69.1
20100612,71.1
20100613,71.1
20100614,72
20100615,77
20100616,77
20100617,77
20100618,84.9
20100619,84.9
20100620,88
20100621,88
20100622,88
20100623,84.9
20100624,90
20100625,90
20100626,86
20100627,86
20100628,95
20100629,95
20100630,89.1
20100701,77
20100702,81
20100703,84.9
20100704,93.9
20100705,97
20100706,102
20100707,102
20100708,84.9
20100709,84.9
20100710,86
20100711,90
20100712,90
20100713,87.1
20100714,86
20100715,82.9
20100716,89.1
20100717,91.9
20100718,91.9
20100719,91
20100720,87.1
20100721,87.1
20100722,87.1
20100723,87.1
20100724,88
20100725,90
20100726,90
20100727,88
20100728,88
20100729,88
20100730,88
20100731,82
20100801,77
20100802,78.1
20100803,84
20100804,88
20100805,89.1
20100806,89.1
20100807,80.1
20100808,87.1
20100809,93
20100810,93
20100811,87.1
20100812,87.1
20100813,82
20100814,81
20100815,79
20100816,81
20100817,89.1
20100818,89.1
20100819,87.1
20100820,89.1
20100821,89.1
20100822,80.1
20100823,70
20100824,64.4
20100825,72
20100826,82.9
20100827,82.9
20100828,82
20100829,93
20100830,90
20100831,93.9
20100901,95
20100902,95
20100903,93
20100904,81
20100905,81
20100906,77
20100907,82.9
20100908,84
20100909,84
20100910,73
20100911,73.9
20100912,73.9
20100913,66.9
20100914,79
20100915,79
20100916,71.1
20100917,75.9
20100918,75.9
20100919,75
20100920,75
20100921,73
20100922,82.9
20100923,82.9
20100924,79
20100925,88
20100926,88
20100927,73
20100928,77
20100929,82
20100930,82
20101001,79
20101002,79
20101003,68
20101004,63
20101005,63
20101006,62.6
20101007,66.9
20101008,73
20101009,73
20101010,68
20101011,70
20101012,71.1
20101013,66.9
20101014,64
20101015,63
20101016,60.1
20101017,66.9
20101018,66.9
20101019,62.1
20101020,63
20101021,63
20101022,62.1
20101023,61
20101024,61
20101025,69.8
20101026,75
20101027,75
20101028,77
20101029,77
20101030,59
20101031,60.1
20101101,60.1
20101102,51.1
20101103,52
20101104,53.6
20101105,62.1
20101106,62.1
20101107,52
20101108,46.9
20101109,55
20101110,55.9
20101111,51.1
20101112,61
20101113,66
20101114,66
20101115,59
20101116,57
20101117,64
20101118,64
20101119,54
20101120,53.1
20101121,53.1
20101122,60.1
20101123,64
20101124,64
20101125,50
20101126,54
20101127,54
20101128,44.1
20101129,48
20101130,48
20101201,57.2
20101202,57.9
20101203,45
20101204,41
20101205,41
20101206,36
20101207,37
20101208,37
20101209,32
20101210,28
20101211,48
20101212,53.6
20101213,55.4
20101214,43
20101215,30.9
20101216,34
20101217,36
20101218,39
20101219,39
20101220,36
20101221,41
20101222,42.1
20101223,37
20101224,39
20101225,39
20101226,33.1
20101227,30.9
20101228,34
20101229,37
20101230,42.1
20101231,51.1
20110101,54
20110102,54
20110103,50
20110104,39
20110105,39.9
20110106,39.9
20110107,36
20110108,36
20110109,34
20110110,34
20110111,34
20110112,33.8
20110113,33.1
20110114,32
20110115,32
20110116,34
20110117,34
20110118,39.2
20110119,41
20110120,41
20110121,33.1
20110122,30.9
20110123,24.1
20110124,23
20110125,33.1
20110126,33.1
20110127,34
20110128,34
20110129,37
20110130,37
20110131,37
20110201,28
20110202,35.6
20110203,35.1
20110204,34
20110205,39.9
20110206,48.2
20110207,44.1
20110208,39
20110209,37.9
20110210,28.9
20110211,30
20110212,39
20110213,39
20110214,50
20110215,52
20110216,39
20110217,52
20110218,60.1
20110219,52
20110220,46
20110221,37.9
20110222,37.9
20110223,43
20110224,43
20110225,52
20110226,52
20110227,37.9
20110228,51.1
20110301,51.1
20110302,48
20110303,48
20110304,35.1
20110305,55.9
20110306,63
20110307,63
20110308,53.1
20110309,46
20110310,45
20110311,52
20110312,54
20110313,54
20110314,53.1
20110315,42.1
20110316,48.9
20110317,57
20110318,73
20110319,73
20110320,53.1
20110321,46
20110322,46
20110323,46
20110324,42.1
20110325,45
20110326,45
20110327,45
20110328,48
20110329,51.1
20110330,54
20110331,54
20110401,48
20110402,55
20110403,55.9
20110404,55.9
20110405,60.1
20110406,60.1
20110407,55
20110408,53.1
20110409,54
20110410,55.9
20110411,61
20110412,62.1
20110413,60.1
20110414,66
20110415,66
20110416,51.1
20110417,63
20110418,63
20110419,62.1
20110420,54
20110421,57
20110422,57
20110423,54
20110424,78.1
20110425,78.1
20110426,75
20110427,75
20110428,73
20110429,73
20110430,73
20110501,62.1
20110502,68
20110503,68
20110504,64.4
20110505,64
20110506,68
20110507,68
20110508,68
20110509,69.1
20110510,60.1
20110511,64
20110512,64
20110513,70
20110514,70
20110515,64
20110516,59
20110517,52
20110518,63
20110519,70
20110520,70
20110521,73
20110522,73
20110523,60.8
20110524,78.1
20110525,78.1
20110526,78.1
20110527,80.1
20110528,80.1
20110529,81
20110530,86
20110531,86
20110601,82.9
20110602,80.1
20110603,75.9
20110604,73
20110605,73
20110606,78.1
20110607,87.1
20110608,91.9
20110609,91.9
20110610,89.1
20110611,66.9
20110612,64
20110613,68
20110614,62.6
20110615,75
20110616,86
20110617,86
20110618,82.9
20110619,84
20110620,81
20110621,82
20110622,82
20110623,69.1
20110624,69.1
20110625,73.9
20110626,75.9
20110627,82
20110628,82
20110629,84
20110630,84
20110701,82
20110702,81
20110703,81
20110704,87.1
20110705,89.1
20110706,90
20110707,90
20110708,79
20110709,86
20110710,86
20110711,89.1
20110712,91.9
20110713,91.9
20110714,75
20110715,84
20110716,84
20110717,89.1
20110718,89.1
20110719,89.1
20110720,89.1
20110721,91
20110722,100.9
20110723,100.9
20110724,88
20110725,84
20110726,79
20110727,84
20110728,84
20110729,84
20110730,89.1
20110731,89.1
20110801,91
20110802,91
20110803,90
20110804,82.9
20110805,82.9
20110806,86
20110807,86
20110808,89.1
20110809,89.1
20110810,86
20110811,82
20110812,82
20110813,84
20110814,84
20110815,71.6
20110816,73.9
20110817,84
20110818,84.9
20110819,84.9
20110820,84.9
20110821,84.9
20110822,84.9
20110823,79
20110824,79
20110825,84
20110826,84.9
20110827,84.9
20110828,77
20110829,79
20110830,80.1
20110831,82.9
20110901,82.9
20110902,79
20110903,82
20110904,82.4
20110905,82.9
20110906,73.9
20110907,64.9
20110908,66.9
20110909,80.1
20110910,80.1
20110911,78.1
20110912,81
20110913,82
20110914,84.9
20110915,81
20110916,64
20110917,64.9
20110918,68
20110919,69.1
20110920,69.1
20110921,75
20110922,75
20110923,73.4
20110924,80.1
20110925,82
20110926,82.9
20110927,82.9
20110928,80.1
20110929,77
20110930,77
20111001,75.9
20111002,73.9
20111003,70
20111004,66.9
20111005,68
20111006,68
20111007,64
20111008,80.1
20111009,86
20111010,86
20111011,84
20111012,71.1
20111013,64.9
20111014,71.1
20111015,71.1
20111016,66
20111017,64.9
20111018,70
20111019,70
20111020,70
20111021,70
20111022,63
20111023,62.1
20111024,61
20111025,61
20111026,59
20111027,50
20111028,48.9
20111029,43
20111030,46.9
20111031,52
20111101,54
20111102,57.9
20111103,61
20111104,61
20111105,51.1
20111106,57
20111107,64
20111108,70
20111109,70
20111110,63
20111111,61
20111112,57
20111113,62.1
20111114,64.9
20111115,71.1
20111116,71.1
20111117,55.4
20111118,55
20111119,54
20111120,64
20111121,64
20111122,55
20111123,46.9
20111124,48.9
20111125,61
20111126,64.9
20111127,64.9
20111128,64.9
20111129,64.9
20111130,64.9
20111201,62.1
20111202,52
20111203,52
20111204,54
20111205,60.1
20111206,61
20111207,57.9
20111208,57.9
20111209,52
20111210,52
20111211,48.9
20111212,46.9
20111213,48
20111214,48
20111215,54
20111216,55
20111217,55
20111218,45
20111219,45
20111220,45
20111221,55.9
20111222,57.9
20111223,50
20111224,46.9
20111225,41
20111226,45
20111227,51.8
20111228,57.2
20111229,34
20111230,53.1
20111231,53.1
20120101,54
20120102,54
20120103,34
20120104,28
20120105,37.9
20120106,53.1
20120107,61
20120108,61
20120109,45
20120110,46.9
20120111,46.9
20120112,43
20120113,54
20120114,35.1
20120115,36
20120116,30
20120117,44.6
20120118,52
20120119,30.9
20120120,32
20120121,23
20120122,30
20120123,43
20120124,55.9
20120125,55.9
20120126,43
20120127,57.9
20120128,57.9
20120129,46
20120130,43
20120131,55.9
20120201,60.1
20120202,60.1
20120203,44.1
20120204,45
20120205,45
20120206,50
20120207,50
20120208,48
20120209,46.9
20120210,50
20120211,50
20120212,39
20120213,43
20120214,43
20120215,46.4
20120216,46
20120217,52
20120218,52
20120219,48
20120220,46.9
20120221,44.1
20120222,57
20120223,57.9
20120224,57.9
20120225,46
20120226,46
20120227,51.1
20120228,48
20120229,48.9
20120301,37.4
20120302,34
20120303,55
20120304,55
20120305,44.1
20120306,41
20120307,57.9
20120308,63
20120309,64
20120310,41
20120311,54
20120312,72
20120313,72
20120314,66.9
20120315,64
20120316,51.1
20120317,54
20120318,63
20120319,73
20120320,77
20120321,78.1
20120322,81
20120323,81
20120324,70
20120325,61
20120326,57
20120327,57
20120328,54
20120329,54
20120330,53.1
20120331,53.1
20120401,51.1
20120402,54
20120403,59
20120404,64
20120405,64
20120406,54
20120407,55.9
20120408,55.9
20120409,61
20120410,61
20120411,61
20120412,59
20120413,63
20120414,70
20120415,75
20120416,82.9
20120417,82.9
20120418,82.9
20120419,64.9
20120420,68
20120421,68
20120422,66.9
20120423,63
20120424,60.1
20120425,63
20120426,63
20120427,57
20120428,60.1
20120429,60.1
20120430,60.1
20120501,59
20120502,55.9
20120503,55.9
20120504,60.1
20120505,60.1
20120506,64
20120507,66
20120508,66
